alk_Q1,alk_Q2,alk_Q3,alk_Q4,pH_Q1,pH_Q2,pH_Q3,pH_Q4,DBPsf_Q1,DBPsf_Q2,DBPsf_Q3,DBPsf_Q4,wc_freq_TTHM,wc_freq_HAA5,expect_solids,expect_lime,expect_co2
27.27705354,14.30327614,20.41028295,11.63355438,9.438261974,6.509386447,8.807390143,8.028966064,0.21257613,0.226351502,0.654583313,0.477990567,0.25,0.090909091,20.64685433,14.67396129,4.137590666
34.08491916,10.25563408,0,68.52487718,6.094640877,6.537315787,6.509859589,6,0.75,0.02,0.021633883,0.02,0.295454545,0.090909091,17.66976294,79.48125785,86.69492787
34.08491916,56.90547546,0,25.69009946,6.094640877,7.914950352,6.118595967,6,0.75,0.02,0.1313528,0.02,0.181818182,0,23.78885813,62.73454813,59.68029209
7.096295666,56.90547546,0,25.69009946,6.094640877,9.5,6.118595967,6,0.315200213,0.02,0.75,0.02,0.181818182,0,23.95374551,60.78657234,57.12588624
14.22384966,59.65812139,0,10.00942959,6,7.955600744,6.057272692,6,0.75,0.02,0.653407718,0.02,0.136363636,0,24.08207385,68.01507354,65.83663418
33.45605007,58.90037831,0,22.5898443,6,8.960686762,6,6.14521183,0.75,0.02,0.184038832,0.75,0.136363636,0,24.14257155,63.9665825,60.80339247
33.12251843,57.45204466,0,24.56569353,6,6,6,6,0.75,0.02,0.75,0.02,0.272727273,0,20.50177608,96.5019507,104.3362831
19.59398968,35.76413785,37.50128965,1.012319294,8.189296602,6.822868092,6.838845789,8.432793878,0.447242893,0.75,0.75,0.609896744,0.25,0,23.52245331,23.44530279,11.81095332
24.17422566,28.78687992,32.09232668,12.9482398,6,6,6.396971738,6,0.223415196,0.577529959,0.75,0.02,0.25,0.113636364,17.44820419,70.48357628,75.78596746
111.7756624,82.06824347,17.90932926,27.43957706,7.312793206,7.083815747,8.647445456,6.586777591,0.02,0.02,0.02,0.02,0,0,29.87036238,55.09793915,43.97992106
33.45605007,58.90037831,0,22.5898443,6.916351644,8.960686762,6,6.490667535,0.4568106,0.025451632,0.184038832,0.733317607,0.136363636,0,25.19793622,38.64706213,28.61101232
11.6093414,26.04743145,1.882655132,34.13451852,9.5,7.304472043,9.5,8.195259397,0.75,0.75,0.02,0.75,0.25,0.045454545,21.89410674,13.46323681,1.366545391
65.5399178,67.83153256,30.72192531,1.713391731,6,9.5,6.073695315,7.269807159,0.02,0.02,0.75,0.02,0.045454545,0,26.90920611,84.41056617,83.00083423
21.20228733,31.17994773,11.79979652,81.57531538,6,8.465725281,6,6,0.75,0.02,0.56263691,0.02,0.295454545,0,19.1331293,99.43823272,109.5597439
0,21.56657626,35.15813871,15.24496569,7.035222508,6.695265153,6.36401096,8.838467287,0.503380696,0.57208222,0.606873926,0.38529903,0.25,0.090909091,20.20047715,23.74864058,15.64027703
15.71494294,81.72647024,47.30744639,40.7813929,6,9.105414157,6,6,0.35894747,0.02,0.49225183,0.292356346,0,0,27.47362321,100.0145119,101.3000473
33.66265693,67.39214941,31.10900163,25.67698639,6.070315516,6.074012879,6,6,0.75,0.75,0.729457305,0.75,0.159090909,0,23.00997239,103.459549,110.1432329
0.422262224,56.22857519,0.631488025,24.3543211,6.004475789,7.840937473,6.118595967,6,0.75,0.02,0.151895495,0.02,0.204545455,0,23.60812007,65.6568339,63.46024813
10.24097088,70.3128494,27.57699544,28.96527743,9.5,8.876411491,6.401628693,6.203487721,0.506202351,0.111032491,0.559536188,0.730088967,0.045454545,0,28.30335132,42.90225039,30.58225116
18.38562144,60.42853773,9.85013873,38.14017278,7.077584591,8.457329912,8.252376773,6.433410191,0.356062803,0.343086446,0.437614597,0.412285505,0.090909091,0,27.37202797,33.96727437,20.68816391
0,80.18203504,31.4702238,14.06594201,9.5,9.172512471,6,6,0.536103618,0.02,0.725071648,0.75,0.022727273,0,28.11311316,61.34876912,53.28009806
5.608105183,24.17956132,15.8072467,37.15578888,9.243983477,8.199833084,6.863124358,9.053254291,0.735797337,0.608710412,0.579213439,0.030518796,0.295454545,0.022727273,21.42461404,13.72965032,2.176557843
34.53600909,56.90547546,0,25.69009946,6.004940813,7.936609728,6.118595967,6,0.75,0.02,0.75,0.223876234,0.181818182,0,23.73579014,67.01669293,64.99618943
0.259095945,27.96899175,30.66733842,35.13187157,6.052604722,7.588306847,6.015102852,6.041462425,0.02,0.037907699,0.748474096,0.153761937,0.25,0.022727273,18.62075823,63.42861025,65.91590701
49.80307304,111.8704327,70.77406594,24.38652369,6,6,6,6,0.75,0.02,0.02,0.75,0,0,25.24126187,186.3373063,208.9352177
29.2608925,61.32926245,31.73115745,26.50177591,9.008598914,9.5,6,6,0.02,0.02,0.75,0.589104733,0.090909091,0,25.72534877,55.55503602,48.70537363
1.419017211,79.27585618,19.18165571,21.33623721,9.424241037,8.194518626,8.607335377,7.717643638,0.502037375,0.686623113,0.025022778,0.562510222,0,0,32.25994337,31.3474135,12.30553714
7.096295666,56.90547546,0,25.69009946,6.094640877,9.5,6.118595967,7.615778349,0.322948738,0.02,0.75,0.02,0.181818182,0,25.18917364,43.92621059,35.17636079
7.096295666,56.90547546,0,25.69009946,6.094640877,7.257487924,7.248878991,6,0.315200213,0.02,0.75,0.02,0.159090909,0,24.39733302,56.59720366,51.59225958
0,80.18203504,31.4702238,14.06594201,9.5,7.650240008,6,6,0.536103618,0.02,0.725071648,0.75,0,0,27.86219235,62.72975774,55.22334307
0,71.35740056,10.26702978,39.33095686,8.958783981,9.5,7.615077119,9.5,0.46339315,0.75,0.75,0.023399661,0.068181818,0,31.21362634,28.22492355,9.603283727
34.08491916,86.54251998,40.47174511,68.52487718,9.377853804,6.101413004,6.118595967,6,0.193487758,0.02,0.75,0.600235567,0.045454545,0,25.89936871,129.0189635,138.3003157
0,21.56657626,35.15813871,15.24496569,7.035222508,6.695265153,6.36401096,6.175835349,0.503380696,0.57208222,0.606873926,0.38529903,0.25,0.090909091,18.92193851,34.55104562,30.21010204
5.608105183,24.17956132,15.8072467,37.15578888,9.243983477,8.199833084,6.863124358,7.305525218,0.735797337,0.608710412,0.579213439,0.030518796,0.295454545,0.022727273,21.1264813,14.70031738,3.677751547
