alk_Q1,alk_Q2,alk_Q3,alk_Q4,pH_Q1,pH_Q2,pH_Q3,pH_Q4,DBPsf_Q1,DBPsf_Q2,DBPsf_Q3,DBPsf_Q4,wc_freq_TTHM,wc_freq_HAA5,expect_solids,expect_lime,expect_co2
6.71,71.19,12.83,10.20,6.96,8.68,8.56,6.67,0.27,0.04,0.41,0.29,0.02,0.00,28.2,31.4,16.6
28.45,26.35,9.94,17.90,6.13,6.10,6.04,6.01,0.11,0.55,0.61,0.33,0.30,0.09,16.7,61.1,65.0
7.46,43.20,11.50,26.86,6.62,9.25,8.84,6.59,0.24,0.02,0.07,0.41,0.20,0.00,23.6,25.5,14.3
28.44,26.35,9.94,17.90,6.27,6.10,6.01,6.01,0.11,0.55,0.61,0.33,0.30,0.09,16.8,57.4,60.4
11.12,14.12,5.10,5.31,8.41,7.56,8.52,9.29,0.02,0.05,0.03,0.28,0.25,0.05,21.1,11.8,0.0
34.30,26.72,25.07,26.93,6.23,6.02,6.45,6.03,0.08,0.04,0.02,0.40,0.25,0.11,17.1,56.0,58.3
10.84,65.31,30.84,18.18,6.16,6.32,6.00,6.01,0.53,0.02,0.63,0.14,0.14,0.00,23.4,85.0,87.2
34.18,26.69,30.34,18.86,6.31,6.02,6.04,6.02,0.22,0.58,0.64,0.04,0.25,0.11,16.9,63.3,67.4
10.69,22.20,20.10,27.51,6.33,6.93,6.16,6.29,0.46,0.02,0.02,0.27,0.30,0.05,18.0,35.2,32.0
9.83,22.72,28.12,29.78,6.00,6.73,6.19,6.18,0.07,0.02,0.03,0.05,0.25,0.05,17.7,53.0,54.1
28.20,18.14,2.24,1.30,7.82,9.26,7.73,7.80,0.41,0.04,0.03,0.02,0.30,0.02,21.4,12.0,0.0
28.55,66.40,22.25,26.74,8.06,9.50,8.57,7.87,0.73,0.02,0.04,0.14,0.05,0.00,28.5,24.4,7.7
3.78,21.46,5.91,10.57,6.49,7.13,6.02,6.31,0.46,0.06,0.03,0.18,0.30,0.05,18.0,33.9,30.3
6.73,61.37,25.89,11.24,6.59,6.81,6.01,6.34,0.26,0.03,0.05,0.39,0.11,0.00,24.6,51.6,45.1
17.47,21.58,31.62,10.45,6.00,7.09,6.00,6.00,0.49,0.45,0.02,0.18,0.25,0.05,17.5,64.2,68.0
19.15,23.97,1.16,15.39,7.56,8.03,6.89,6.79,0.19,0.58,0.02,0.13,0.30,0.02,20.2,14.7,4.6
19.90,57.60,28.56,9.83,6.24,7.14,6.03,6.33,0.47,0.02,0.02,0.07,0.14,0.00,24.2,55.9,50.8
7.44,15.00,20.31,24.52,7.40,7.41,8.53,8.00,0.22,0.64,0.02,0.02,0.25,0.05,20.6,11.7,0.5
5.60,19.67,22.87,26.93,7.58,7.08,7.37,7.40,0.75,0.02,0.02,0.04,0.27,0.07,20.2,12.4,1.8
30.74,22.39,25.06,26.48,6.23,6.28,6.28,6.21,0.75,0.10,0.07,0.75,0.27,0.09,17.4,44.3,43.7
32.80,17.80,17.28,15.49,7.60,7.42,7.89,8.05,0.75,0.37,0.02,0.18,0.27,0.05,20.6,11.4,0.2
7.67,49.70,12.32,7.47,7.58,9.48,8.80,7.40,0.44,0.03,0.02,0.42,0.18,0.00,25.7,19.6,4.8
11.65,57.60,23.87,4.31,6.13,9.48,6.00,6.03,0.11,0.02,0.03,0.16,0.14,0.00,24.0,62.5,59.0
6.45,26.22,5.53,11.04,6.29,7.35,6.01,6.00,0.02,0.02,0.07,0.24,0.30,0.02,18.1,47.9,47.4
6.77,22.00,15.07,15.45,6.50,7.13,6.02,6.16,0.29,0.17,0.11,0.71,0.30,0.05,17.9,37.3,34.7
21.17,22.11,32.30,17.89,6.02,7.00,6.00,6.14,0.23,0.12,0.03,0.03,0.25,0.05,17.7,58.9,61.3
28.60,24.75,18.56,24.39,7.75,8.47,7.57,7.84,0.72,0.03,0.02,0.25,0.30,0.02,21.1,11.7,0.1
27.22,49.48,31.34,22.65,6.07,9.34,6.00,6.06,0.75,0.02,0.08,0.05,0.18,0.00,22.8,66.1,64.7
28.55,66.40,22.22,26.26,8.06,9.50,8.65,7.94,0.73,0.07,0.04,0.14,0.05,0.00,28.7,24.6,7.7
30.66,17.90,17.79,21.61,6.50,6.89,6.02,6.14,0.49,0.08,0.02,0.17,0.30,0.07,17.7,38.4,36.2
10.08,22.49,25.25,25.07,6.76,6.45,6.30,6.50,0.11,0.02,0.08,0.20,0.27,0.09,18.4,28.2,23.0
7.38,26.69,29.06,8.96,6.31,6.02,6.03,6.03,0.19,0.51,0.64,0.22,0.27,0.11,16.9,61.9,65.8
4.98,13.33,12.10,15.41,8.52,8.96,8.74,7.96,0.75,0.06,0.02,0.72,0.25,0.02,21.5,12.1,0.0
29.85,24.32,12.08,15.01,6.16,7.99,6.01,6.01,0.23,0.71,0.05,0.64,0.30,0.02,18.0,50.2,50.4
14.45,15.93,30.89,24.26,6.53,6.69,6.12,6.31,0.69,0.58,0.02,0.02,0.25,0.07,18.1,38.1,35.4
1.07,48.83,26.76,19.48,6.81,9.36,6.26,6.74,0.70,0.02,0.02,0.08,0.18,0.00,24.1,31.1,20.5
3.86,21.46,5.86,4.92,6.49,7.08,6.02,6.30,0.65,0.06,0.03,0.18,0.30,0.05,18.0,34.1,30.6
29.65,65.98,29.06,12.61,6.30,7.30,6.03,6.17,0.64,0.02,0.02,0.03,0.07,0.00,25.3,60.5,55.2
