alk_Q1,alk_Q2,alk_Q3,alk_Q4,pH_Q1,pH_Q2,pH_Q3,pH_Q4,DBPsf_Q1,DBPsf_Q2,DBPsf_Q3,DBPsf_Q4,wc_freq_TTHM,wc_freq_HAA5,expect_solids,expect_lime,expect_co2
14.22384966,59.65812139,0,10.00942959,6,7.955600744,6.057272692,6,0.75,0.02,0.653407718,0.02,0.136363636,0,24.08207385,68.01507354,65.83663418
33.45605007,58.90037831,0,22.5898443,6,8.960686762,6,6.14521183,0.75,0.02,0.184038832,0.75,0.136363636,0,24.14257155,63.9665825,60.80339247
31.95195652,80.18203504,18.75150239,14.06594201,7.365533341,6.779278669,6,6.531814086,0.536736806,0.020340514,0.641004983,0.75,0.045454545,0,27.00442813,49.28613787,39.6872804
23.77052652,32.50614965,0,6.442591016,6.618647938,7.329020393,6,6,0.564115245,0.75,0.75,0.75,0.295454545,0,19.55211138,44.77926405,42.08815675
34.08491916,66.24269122,3.224844596,10.83784833,6.787611992,7.314679062,9.008252416,6.345079042,0.75,0.02,0.021633883,0.02,0.068181818,0,26.90158519,36.95203415,24.83605415
0,71.35740056,10.26702978,18.48191891,8.424063296,9.5,8.485845279,8.211078441,0.46339315,0.75,0.308398153,0.023399661,0.045454545,0,30.84364168,27.21108523,8.750486832
9.108216981,31.18292882,11.53652163,21.09804165,7.564072112,8.589691703,6.901625035,7.798531856,0.516964197,0.419529301,0.46599909,0.318583104,0.272727273,0,21.84431134,14.24314326,2.365116281
12.55242634,71.94935352,28.4450235,29.7408515,6.368137561,8.853488009,6.223423848,6.210209051,0.352580259,0.078853194,0.562444337,0.701920422,0.022727273,0,27.16154939,53.80942856,45.14105705
21.81116624,31.48785143,4.605302574,3.236065433,6.18140913,7.445543903,6,6,0.75,0.653545564,0.75,0.278647156,0.295454545,0,19.05104683,52.79644812,52.4715968
31.8824735,71.35740056,15.51350258,11.64214379,8.337083384,9.447597272,9.158264608,8.570430564,0.743469245,0.022393503,0.233730893,0.063846547,0.022727273,0,29.56503522,26.21198134,8.892506485
24.62207864,61.70185321,7.462478947,11.06312211,6.400616394,8.246622706,6.978024385,6.875221101,0.607241396,0.02,0.030791882,0.555872454,0.090909091,0,26.27642025,33.53067702,21.32477788
16.07612886,24.81350267,17.85657633,3.953867198,6.617549556,8.980852011,6,6,0.75,0.75,0.021360316,0.02,0.295454545,0.022727273,18.57161753,42.04318978,39.77438291
26.21926612,32.49520404,32.09232668,12.9482398,6,7.534259211,6.033203119,6,0.223415196,0.035167176,0.146088212,0.02,0.25,0,19.43733822,66.14322786,68.38659273
9.108216981,31.18292882,11.53652163,21.09804165,7.564072112,8.589691703,6.699733364,7.798531856,0.516964197,0.419529301,0.46599909,0.318583104,0.272727273,0,21.71262965,14.88713351,3.283428168
31.95195652,80.18203504,18.75150239,14.06594201,7.134009393,6.779278669,6,6.531814086,0.643302001,0.020340514,0.641004983,0.75,0.045454545,0,26.93395183,49.86846875,40.47749019
26.21926612,32.49520404,12.18458629,23.49551016,6,7.534259211,6.392084328,6,0.223415196,0.027923567,0.748061368,0.02,0.272727273,0,19.54819012,54.46381233,54.08280591
29.83798628,51.65096192,25.12913267,25.19266889,6.405765188,8.533713913,7.169400028,6.193867369,0.445779843,0.045800319,0.058049352,0.581624169,0.159090909,0,24.35153855,39.40323684,30.54690018
28.06353166,6.570384256,19.51102452,8.593040038,7.381250664,6.900435949,6.56484645,7.003473243,0.612642487,0.59617332,0.341563275,0.134542245,0.295454545,0.068181818,19.57258314,15.78218287,6.613356489
0.259095945,27.96899175,30.66733842,28.18870858,6.052604722,7.588306847,6.015102852,6.048111587,0.056198982,0.037824609,0.728115027,0.151179904,0.25,0.022727273,18.58585487,59.85459124,61.57408366
27.92141996,19.40580583,25.17953567,20.03938348,6.78572644,6.937617872,6.570508165,6.60975063,0.496060051,0.42439506,0.436556602,0.200812336,0.25,0.068181818,19.22185164,21.65381692,14.17116727
26.98784476,64.58730401,3.592392982,15.06726897,6.178654406,6.860585292,6.453365125,6.29227662,0.571222417,0.02,0.41005571,0.120017544,0.090909091,0,25.10674173,52.74301399,46.05093473
1.620706274,12.05923018,7.965422852,22.1519063,7.479161471,7.103289084,8.585985877,7.208084182,0.561692583,0.220558303,0.343532036,0.186919525,0.25,0.068181818,20.41991872,12.59298379,1.847198279
0.202945779,58.90037831,0,22.67817372,7.713070652,8.96426908,6.014948028,6.490667535,0.541710256,0.034189893,0.165548025,0.17291227,0.136363636,0,25.45486182,36.26965609,25.42354991
26.21926612,32.49520404,0.795752325,6.913347447,6.011972562,7.534624248,6.392084328,6,0.223415196,0.027923567,0.748061368,0.718653659,0.272727273,0,19.55645854,53.89187829,53.3736269
9.264537159,61.9715231,16.47498376,29.15197889,8.271172419,9.5,7.786556375,9.014822952,0.02,0.02,0.634363093,0.75,0.090909091,0,28.05592071,23.1856086,6.777411355
24.09722708,13.5401294,26.2854944,14.25611814,6.545782771,6.220001567,6.821058953,6.277466621,0.614428476,0.02,0.448992351,0.066180655,0.25,0.090909091,18.21349905,33.51003648,29.72640721
22.81819481,50.29839196,4.078332835,23.37696516,6.62114308,8.745123955,8.73518231,6.975161808,0.024204269,0.027351508,0.204422824,0.337195276,0.159090909,0,25.23257359,25.64319264,12.774522
14.09811231,43.98306712,5.862051751,28.41207793,7.465379574,7.837811384,8.219636903,7.506972179,0.02,0.562677277,0.389751144,0.545101406,0.227272727,0,24.68062845,18.76656846,4.921650941
31.63075584,24.76982698,18.55929215,6.50592464,6.524695867,6.72539428,6,6,0.467010073,0.281101592,0.560281088,0.535652094,0.295454545,0.045454545,17.77778589,44.87820343,44.06748182
29.95134247,22.28531476,20.13824871,24.15363221,6.000017576,6.151997198,6.071424978,6.194046662,0.582149539,0.045828276,0.149644938,0.717875246,0.295454545,0.113636364,16.64508262,56.72850653,59.79782095
1.391108687,66.52201618,31.73684473,24.33471779,6.000770929,6.037783828,6,6,0.742924591,0.059265997,0.725323375,0.75,0.159090909,0,22.30604629,107.746033,116.1290702
29.35298188,59.73640085,11.13941857,24.92165919,6.965761221,7.21191775,6.432660886,6.492286871,0.677833244,0.0878451,0.744083109,0.121820796,0.113636364,0,25.76733609,34.58841497,23.09488906
0.088880876,16.01786167,32.09232668,12.69084975,6.004617777,7.591547186,6.016130635,6.001639072,0.680010146,0.063212078,0.443862528,0.02,0.25,0.045454545,17.82147747,63.40275893,66.72405145
28.06353166,6.570384256,19.51102452,8.593040038,7.381250664,6.778796966,6.56484645,7.003473243,0.612642487,0.59617332,0.341563275,0.361250924,0.295454545,0.068181818,19.51038219,16.23668671,7.232058447
44.41522746,113.2000145,33.67786184,20.06046494,6.07171138,6,6,6,0.471633614,0.02,0.636261111,0.693226952,0,0,25.18207296,153.7650711,169.2979758
29.95134247,20.40549632,21.55604751,24.14714198,6.7901572,6.17068308,6.071424978,6.194046662,0.584275632,0.045828276,0.149644938,0.717875246,0.295454545,0.113636364,17.23877347,39.29629836,37.75787682
5.584652667,58.94115895,10.76909935,17.8344062,6.868834924,8.142133862,7.863204615,6.275650657,0.340534478,0.02,0.184113347,0.02,0.113636364,0,25.90026009,33.72041175,21.94478333
31.63075584,24.76982698,18.55929215,6.50592464,6.524695867,7.048643062,6,6,0.467010073,0.281101592,0.560281088,0.587258858,0.295454545,0.045454545,17.93922269,43.7111835,42.47614292
2.3002456,61.14273337,24.20981947,12.46244449,6.134723844,8.356212497,6,6.036417984,0.202405838,0.022569819,0.118285173,0.419791195,0.113636364,0,24.50233084,64.18205142,60.64924931
24.09722708,13.5401294,26.2854944,14.25611814,6.545782771,6.057779077,6.202724934,6.277466621,0.614428476,0.02,0.448992351,0.066180655,0.272727273,0.136363636,17.1402517,41.90546812,41.04938153
7.487923718,67.33118747,0.05929384,25.63361767,7.778860316,9.37526025,8.454875506,7.424789511,0.497273688,0.025878254,0.220877371,0.275053708,0.068181818,0,28.54197065,25.11905098,8.628333666
7.487923718,67.33118747,0.05929384,25.63361767,7.778860316,7.707717923,8.454875506,7.424789511,0.497273688,0.025878254,0.04613215,0.275053708,0.068181818,0,28.23076252,26.40347112,10.51791478
26.0200106,19.62350806,3.239321647,18.41231096,7.895788597,7.042636102,7.88747236,7.090584226,0.600021244,0.032513852,0.054795967,0.712656919,0.272727273,0.068181818,20.21901248,12.7108834,2.196229045
10.50795553,64.21593704,34.88337918,15.32881414,6,6.535761704,6,6,0.448351843,0.02,0.75,0.297613093,0.113636364,0,23.85515575,88.23263265,90.69217258
31.01251364,19.52362969,26.2854944,14.25611814,6.545782771,6.026205105,6.195816647,6.277100538,0.614428476,0.02,0.448992351,0.066180655,0.272727273,0.159090909,17.02869025,42.77012944,42.22007859
0.460064097,32.05447025,29.44421961,27.83790276,6.43223338,7.768914518,6.118153777,6.285403937,0.685224978,0.546669407,0.730785904,0.478692161,0.25,0,20.08424841,40.28413149,36.01411908
12.33851715,24.66496725,28.4450235,29.7408515,6.129776481,8.636420404,6.223423848,6.210428245,0.368737153,0.678505322,0.562444337,0.701920422,0.25,0.022727273,18.83238459,45.1047349,43.3004841
36.20860077,62.53510034,0.984170219,11.4378426,7.956617454,8.407528968,7.67224363,6.297166648,0.738353467,0.045772151,0.049716708,0.067996218,0.090909091,0,26.72902308,32.44126132,19.49457942
12.5370165,44.20160461,17.41489078,29.72527253,7.494602903,7.120484318,8.033064689,6.236735887,0.692111025,0.316506867,0.462896292,0.353310063,0.227272727,0,23.58091515,29.5732449,19.30077985
